"Var1","Var2","Freq"
"Dirty Condition","",0
"Food Establishment","",66
"Illegal Parking","",27
"Noise - Commercial","",573
"Noise - Street/Sidewalk","",1187
"Rodent","",332
"Dirty Condition","0",0
"Food Establishment","0",1
"Illegal Parking","0",0
"Noise - Commercial","0",0
"Noise - Street/Sidewalk","0",0
"Rodent","0",1
"Dirty Condition","00000",0
"Food Establishment","00000",4
"Illegal Parking","00000",0
"Noise - Commercial","00000",0
"Noise - Street/Sidewalk","00000",0
"Rodent","00000",0
"Dirty Condition","000000",0
"Food Establishment","000000",1
"Illegal Parking","000000",0
"Noise - Commercial","000000",0
"Noise - Street/Sidewalk","000000",0
"Rodent","000000",0
"Dirty Condition","00083",0
"Food Establishment","00083",0
"Illegal Parking","00083",0
"Noise - Commercial","00083",0
"Noise - Street/Sidewalk","00083",149
"Rodent","00083",14
"Dirty Condition","0031",0
"Food Establishment","0031",0
"Illegal Parking","0031",0
"Noise - Commercial","0031",0
"Noise - Street/Sidewalk","0031",0
"Rodent","0031",1
"Dirty Condition","10000",1
"Food Establishment","10000",11
"Illegal Parking","10000",2
"Noise - Commercial","10000",3
"Noise - Street/Sidewalk","10000",255
"Rodent","10000",7
"Dirty Condition","10001",81
"Food Establishment","10001",1409
"Illegal Parking","10001",300
"Noise - Commercial","10001",3556
"Noise - Street/Sidewalk","10001",4814
"Rodent","10001",1206
"Dirty Condition","10002",162
"Food Establishment","10002",1584
"Illegal Parking","10002",534
"Noise - Commercial","10002",14757
"Noise - Street/Sidewalk","10002",11554
"Rodent","10002",3315
"Dirty Condition","10003",211
"Food Establishment","10003",2115
"Illegal Parking","10003",198
"Noise - Commercial","10003",9609
"Noise - Street/Sidewalk","10003",8555
"Rodent","10003",2209
"Dirty Condition","10004",11
"Food Establishment","10004",302
"Illegal Parking","10004",119
"Noise - Commercial","10004",344
"Noise - Street/Sidewalk","10004",571
"Rodent","10004",139
"Dirty Condition","10005",14
"Food Establishment","10005",178
"Illegal Parking","10005",36
"Noise - Commercial","10005",483
"Noise - Street/Sidewalk","10005",1622
"Rodent","10005",108
