"","Var1","Var2","Freq"
"1","Food Establishment","",23
"2","Illegal Parking","",574
"3","Noise - Commercial","",68
"4","Noise - Street/Sidewalk","",181
"5","Rodent","",51
"6","Food Establishment","00083",1
"7","Illegal Parking","00083",2
"8","Noise - Commercial","00083",0
"9","Noise - Street/Sidewalk","00083",1
"10","Rodent","00083",7
"11","Food Establishment","10000",2
"12","Illegal Parking","10000",2
"13","Noise - Commercial","10000",0
"14","Noise - Street/Sidewalk","10000",59
"15","Rodent","10000",2
"16","Food Establishment","10001",136
"17","Illegal Parking","10001",479
"18","Noise - Commercial","10001",388
"19","Noise - Street/Sidewalk","10001",368
"20","Rodent","10001",156
"21","Food Establishment","10002",148
"22","Illegal Parking","10002",858
"23","Noise - Commercial","10002",1821
"24","Noise - Street/Sidewalk","10002",1158
"25","Rodent","10002",289
"26","Food Establishment","10003",217
"27","Illegal Parking","10003",488
"28","Noise - Commercial","10003",1069
"29","Noise - Street/Sidewalk","10003",723
"30","Rodent","10003",226
"31","Food Establishment","10004",39
"32","Illegal Parking","10004",239
"33","Noise - Commercial","10004",28
"34","Noise - Street/Sidewalk","10004",32
"35","Rodent","10004",25
"36","Food Establishment","10005",22
"37","Illegal Parking","10005",105
"38","Noise - Commercial","10005",49
"39","Noise - Street/Sidewalk","10005",100
"40","Rodent","10005",7
"41","Food Establishment","10006",19
"42","Illegal Parking","10006",78
"43","Noise - Commercial","10006",44
"44","Noise - Street/Sidewalk","10006",15
"45","Rodent","10006",22
"46","Food Establishment","10007",81
"47","Illegal Parking","10007",309
"48","Noise - Commercial","10007",55
"49","Noise - Street/Sidewalk","10007",179
"50","Rodent","10007",34
"51","Food Establishment","10009",95
"52","Illegal Parking","10009",443
"53","Noise - Commercial","10009",1488
"54","Noise - Street/Sidewalk","10009",910
"55","Rodent","10009",367
"56","Food Establishment","10010",101
"57","Illegal Parking","10010",247
"58","Noise - Commercial","10010",356
"59","Noise - Street/Sidewalk","10010",294
"60","Rodent","10010",101
"61","Food Establishment","10011",162
"62","Illegal Parking","10011",385
"63","Noise - Commercial","10011",561
"64","Noise - Street/Sidewalk","10011",393
"65","Rodent","10011",263
"66","Food Establishment","10012",115
"67","Illegal Parking","10012",245
"68","Noise - Commercial","10012",814
"69","Noise - Street/Sidewalk","10012",796
"70","Rodent","10012",111
"71","Food Establishment","10013",152
"72","Illegal Parking","10013",576
"73","Noise - Commercial","10013",518
"74","Noise - Street/Sidewalk","10013",328
"75","Rodent","10013",116
"76","Food Establishment","10014",124
"77","Illegal Parking","10014",510
"78","Noise - Commercial","10014",595
"79","Noise - Street/Sidewalk","10014",363
"80","Rodent","10014",210
"81","Food Establishment","10016",220
"82","Illegal Parking","10016",450
"83","Noise - Commercial","10016",571
"84","Noise - Street/Sidewalk","10016",363
"85","Rodent","10016",174
"86","Food Establishment","10017",87
"87","Illegal Parking","10017",634
"88","Noise - Commercial","10017",165
"89","Noise - Street/Sidewalk","10017",269
"90","Rodent","10017",27
"91","Food Establishment","10018",93
"92","Illegal Parking","10018",225
"93","Noise - Commercial","10018",197
"94","Noise - Street/Sidewalk","10018",132
"95","Rodent","10018",58
"96","Food Establishment","10019",201
"97","Illegal Parking","10019",914
"98","Noise - Commercial","10019",521
"99","Noise - Street/Sidewalk","10019",364
"100","Rodent","10019",116
"101","Food Establishment","10020",22
"102","Illegal Parking","10020",32
"103","Noise - Commercial","10020",3
"104","Noise - Street/Sidewalk","10020",9
"105","Rodent","10020",0
"106","Food Establishment","10021",60
"107","Illegal Parking","10021",314
"108","Noise - Commercial","10021",114
"109","Noise - Street/Sidewalk","10021",134
"110","Rodent","10021",177
"111","Food Establishment","10022",132
"112","Illegal Parking","10022",460
"113","Noise - Commercial","10022",310
"114","Noise - Street/Sidewalk","10022",113
"115","Rodent","10022",107
"116","Food Establishment","10023",117
"117","Illegal Parking","10023",957
"118","Noise - Commercial","10023",226
"119","Noise - Street/Sidewalk","10023",405
"120","Rodent","10023",170
"121","Food Establishment","10024",147
"122","Illegal Parking","10024",534
"123","Noise - Commercial","10024",236
"124","Noise - Street/Sidewalk","10024",266
"125","Rodent","10024",308
"126","Food Establishment","10025",138
"127","Illegal Parking","10025",738
"128","Noise - Commercial","10025",455
"129","Noise - Street/Sidewalk","10025",1224
"130","Rodent","10025",663
"131","Food Establishment","10026",80
"132","Illegal Parking","10026",261
"133","Noise - Commercial","10026",283
"134","Noise - Street/Sidewalk","10026",1547
"135","Rodent","10026",412
"136","Food Establishment","10027",106
"137","Illegal Parking","10027",676
"138","Noise - Commercial","10027",329
"139","Noise - Street/Sidewalk","10027",1292
"140","Rodent","10027",288
"141","Food Establishment","10028",82
"142","Illegal Parking","10028",331
"143","Noise - Commercial","10028",447
"144","Noise - Street/Sidewalk","10028",284
"145","Rodent","10028",188
"146","Food Establishment","10029",92
"147","Illegal Parking","10029",983
"148","Noise - Commercial","10029",562
"149","Noise - Street/Sidewalk","10029",1056
"150","Rodent","10029",303
"151","Food Establishment","10030",29
"152","Illegal Parking","10030",477
"153","Noise - Commercial","10030",272
"154","Noise - Street/Sidewalk","10030",701
"155","Rodent","10030",248
"156","Food Establishment","10031",56
"157","Illegal Parking","10031",471
"158","Noise - Commercial","10031",653
"159","Noise - Street/Sidewalk","10031",3003
"160","Rodent","10031",390
"161","Food Establishment","10032",41
"162","Illegal Parking","10032",644
"163","Noise - Commercial","10032",377
"164","Noise - Street/Sidewalk","10032",2717
"165","Rodent","10032",301
"166","Food Establishment","10033",68
"167","Illegal Parking","10033",715
"168","Noise - Commercial","10033",724
"169","Noise - Street/Sidewalk","10033",1744
"170","Rodent","10033",263
"171","Food Establishment","10034",63
"172","Illegal Parking","10034",649
"173","Noise - Commercial","10034",1165
"174","Noise - Street/Sidewalk","10034",1604
"175","Rodent","10034",273
"176","Food Establishment","10035",74
"177","Illegal Parking","10035",345
"178","Noise - Commercial","10035",219
"179","Noise - Street/Sidewalk","10035",714
"180","Rodent","10035",199
"181","Food Establishment","10036",159
"182","Illegal Parking","10036",638
"183","Noise - Commercial","10036",715
"184","Noise - Street/Sidewalk","10036",611
"185","Rodent","10036",101
"186","Food Establishment","10037",24
"187","Illegal Parking","10037",226
"188","Noise - Commercial","10037",45
"189","Noise - Street/Sidewalk","10037",303
"190","Rodent","10037",75
"191","Food Establishment","10038",71
"192","Illegal Parking","10038",625
"193","Noise - Commercial","10038",180
"194","Noise - Street/Sidewalk","10038",149
"195","Rodent","10038",76
"196","Food Establishment","10039",22
"197","Illegal Parking","10039",181
"198","Noise - Commercial","10039",61
"199","Noise - Street/Sidewalk","10039",843
"200","Rodent","10039",143
"201","Food Establishment","10040",36
"202","Illegal Parking","10040",712
"203","Noise - Commercial","10040",679
"204","Noise - Street/Sidewalk","10040",3084
"205","Rodent","10040",196
"206","Food Establishment","10041",1
"207","Illegal Parking","10041",3
"208","Noise - Commercial","10041",0
"209","Noise - Street/Sidewalk","10041",6
"210","Rodent","10041",0
"211","Food Establishment","10044",5
"212","Illegal Parking","10044",3
"213","Noise - Commercial","10044",1
"214","Noise - Street/Sidewalk","10044",3
"215","Rodent","10044",15
"216","Food Establishment","10045",1
"217","Illegal Parking","10045",0
"218","Noise - Commercial","10045",0
"219","Noise - Street/Sidewalk","10045",0
"220","Rodent","10045",0
"221","Food Establishment","10048",0
"222","Illegal Parking","10048",1
"223","Noise - Commercial","10048",0
"224","Noise - Street/Sidewalk","10048",0
"225","Rodent","10048",0
"226","Food Establishment","10065",70
